,hostname,coordenadas,distancia a Kepler-220
41,GJ 3341,"[-39.254086656543954, -7.6678106000393855, 65.79516795028387]",489.35680304433515
152,HD 45184,"[-34.25630812269097, 3.710549788623848, 62.72666496111542]",491.316929473816
28,GJ 160.2,"[-26.409090284807085, -14.252299294879982, 78.76652556049933]",492.40017621745443
114,HD 164922,"[-31.789131840634546, 0.3498119839627084, 64.29490911916187]",493.0442391512955
148,HD 39855,"[-25.559205278481823, -0.6130156950395951, 71.387160747302]",493.25435464668556
171,HD 96700,"[-9.385005586947331, 40.56777318604842, 71.6147601083247]",494.16534597450425
352,bet Pic,"[-49.99154395996039, -2.776376932958796, 40.449116961658696]",497.40231069896134
356,psi1 Dra B,"[-70.28226513437427, -5.540498167233545, 22.69530165059157]",497.72936338631746
329,TOI-270,"[-53.666937770027204, -21.230822705750956, 45.160152812466436]",497.76530130372123
170,HD 90156,"[-14.4069813496142, 32.32840872155365, 62.18947264584624]",498.29406392663947
357,psi1 Dra A,"[-68.16661048933052, -5.382984804071858, 22.022909755868632]",499.4784022262353
342,WD 0806-661,"[-48.86310327907992, 30.21095628278366, 25.210995738749382]",499.8235127997402
122,HD 189733,"[-21.501928852382957, 12.505441274881127, 59.43487484488972]",499.9704870499657
123,HD 189733 B,"[-21.443822254919738, 12.470091767943547, 59.27638631157968]",500.12369285429315
338,TOI-6255,"[-20.01444894215926, 36.86687899454994, 51.254184609905515]",500.2951528114568
301,Kepler-993,"[-683.0195376213645, 284.5109289303485, 755.7087728767797]",501.03917855632415
8,7 CMa,"[-21.02603295439604, 3.394657653640366, 60.96784595696905]",501.89889709169387
317,RR Cae,"[-47.10913549622277, -21.69430898186947, 45.63738027609775]",501.9132441792401
307,LHS 1678 B,"[-38.5014967484261, -15.41587148342786, 49.793630620130465]",502.8155157766736
306,LHS 1678,"[-38.501492658975245, -15.415880294108366, 49.79363105443527]",502.8155211453732
39,GJ 3293,"[-25.79793334861121, -10.871779224453567, 59.57006976240867]",503.75938138601936
316,LP 729-55,"[-6.255723844114964, 13.20386153250859, 70.43938625420459]",503.93514114182756
315,LTT 3780,"[-6.232163339110318, 13.151496142392983, 70.16596566866139]",504.13533851566353
178,WDS J07542-2518 B,"[-21.887621035633217, 11.876338085310548, 52.44486305266944]",504.394885530441
58,GJ 4276,"[-24.046437902505005, 54.83689233797694, 35.393825284337936]",504.39673226172806
177,HIP 38594,"[-21.77236893310634, 11.843046452761522, 52.42750482082219]",504.4968518434498
109,HD 154345,"[-42.29206789199878, -10.817490271430579, 40.585946579470956]",504.9263288348115
46,GJ 3634,"[-9.098999641842324, 33.13159914079431, 56.85692443449246]",505.4086208708217
185,HD 153557,"[-41.45995021098779, -11.520735218027744, 39.613480396802444]",506.3601193811131
76,GJ 720 A,"[-35.89581515883001, 5.575838847627064, 35.39294011142478]",507.81977480056617
75,GJ 720 B,"[-35.88292372961399, 5.597634393227228, 35.36239479274362]",507.8431133606186
125,HD 190360,"[-22.314416081228867, 13.35979460242907, 45.23931258534704]",508.4223942753696
126,LHS 3509,"[-22.253270904573014, 13.299396446740475, 45.14929176159926]",508.54091114374086
13,BD-06 1339,"[-6.899675699027007, -0.2106617952979319, 65.71702602903724]",510.15640116697057
34,GJ 238,"[-41.84108643280247, 6.219511476283381, 25.8965583125711]",510.2063114750735
0,14 Her,"[-35.9343465162962, -18.624924012585502, 42.182039645149594]",510.6347564625182
191,HN Peg,"[-8.392677887636438, 12.504500287444113, 57.11451583259885]",510.89317429879924
100,HD 104067,"[-0.08368538942023765, 23.091249319274166, 62.23846805800847]",511.03725307516663
180,HIP 54373,"[-4.581179153721178, 19.63110964323306, 57.59060955488052]",511.5109543384667
358,rho CrB,"[-27.14524261932629, -15.508459429049735, 47.59306473947591]",512.0329888221358
53,GJ 3998,"[-11.136004360108616, -2.1642063394224693, 58.05768383042852]",512.4495710978325
140,HD 27442,"[-46.07943047648404, -22.35455130969146, 30.406132300035473]",513.108880347136
88,GJ 900 A,"[-0.20680818468036544, 1.8891495983739408, 67.80256160519167]",513.1754877252081
37,GJ 317,"[-15.05004537293309, 12.738335458788953, 45.4488493133835]",513.5714527515017
340,TYC 2187-512-1,"[-12.495597790214642, 15.172763272260562, 46.45967167440015]",514.0859998226742
146,HD 39091,"[-58.4474276693612, -5.834570844214355, 9.866664728495486]",514.4249338125156
175,GJ 3222,"[-29.704673985135393, -24.14270424689595, 45.49538155530363]",514.497985345769
184,HD 149806,"[-0.27477376474295206, -0.10390772532654353, 66.08834910874101]",514.7489606671178
51,GJ 3942,"[-38.982138000291215, -20.496861262538054, 33.25565508021698]",515.1992673562545
174,HD 21175 B,"[-28.83179678957474, -23.43259102835352, 44.15740964237178]",515.7254906960133
38,GJ 328,"[1.3000748142474867, -1.2459409835118593, 66.89248326058481]",515.7499736535786
17,G 264-012,"[-26.3564888413791, 40.081159166493464, 20.55634659807223]",516.0121729814202
314,LTT 1445 B,"[-11.90847993802014, -11.717630788823113, 56.07072873798664]",516.0525934969005
